                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.2935,                0.67253,                0.95806,                0.89902,                0.86738,                0.93102,                 0.6169,                 1.3315,                0.71715,                0.96376,             0.00073704,             0.00073704,             0.00073704
                    105,                 1.2529,                0.63479,                0.96699,                0.89929,                0.84637,                0.92543,                 0.6181,                 1.3476,                0.71888,                0.96895,             0.00073337,             0.00073337,             0.00073337
                    106,                 1.3223,                 0.6673,                0.96685,                0.86204,                0.86509,                0.91522,                0.58263,                 1.3817,                0.71883,                0.97662,              0.0007297,              0.0007297,              0.0007297
                    107,                 1.3346,                0.66839,                0.96821,                0.84296,                0.86929,                0.91437,                0.59293,                 1.3452,                0.70291,                0.96739,             0.00072604,             0.00072604,             0.00072604
                    108,                 1.2736,                0.64955,                0.96467,                0.88251,                0.82492,                0.90963,                0.59692,                 1.3462,                0.71102,                 0.9689,             0.00072237,             0.00072237,             0.00072237
                    109,                 1.2891,                0.66404,                0.95334,                 0.8551,                0.87521,                 0.9166,                0.60946,                 1.3147,                0.70378,                0.96306,             0.00071871,             0.00071871,             0.00071871
                    110,                 1.2956,                0.64873,                0.97632,                0.91746,                0.85122,                0.92762,                0.61179,                 1.3064,                0.67526,                0.96174,             0.00071504,             0.00071504,             0.00071504
                    111,                 1.2829,                 0.6326,                0.97104,                 0.8737,                0.89245,                0.93255,                0.61032,                 1.3064,                0.67049,                0.96258,             0.00071137,             0.00071137,             0.00071137
                    112,                 1.2645,                 0.6446,                0.94706,                0.87165,                0.87088,                0.92303,                0.60547,                 1.2991,                0.67897,                 0.9568,             0.00070771,             0.00070771,             0.00070771
                    113,                 1.2457,                0.62879,                0.92479,                0.88123,                0.89553,                 0.9275,                0.61191,                 1.2955,                0.67955,                0.95277,             0.00070404,             0.00070404,             0.00070404
                    114,                 1.2818,                0.66052,                0.96526,                0.85635,                0.90438,                0.93331,                0.64203,                   1.23,                0.65301,                0.93999,             0.00070037,             0.00070037,             0.00070037
                    115,                 1.2448,                0.64911,                0.94162,                 0.8428,                0.91906,                0.93176,                0.64103,                 1.2294,                0.64619,                0.93864,             0.00069671,             0.00069671,             0.00069671
                    116,                 1.2522,                0.63758,                0.94064,                0.85252,                0.92718,                0.93451,                0.60309,                 1.3382,                0.67939,                0.95928,             0.00069304,             0.00069304,             0.00069304
                    117,                 1.2699,                0.64843,                0.95001,                 0.9243,                0.87408,                0.93768,                0.61185,                 1.2896,                0.67609,                0.95173,             0.00068938,             0.00068938,             0.00068938
